ds;yhat
2024-12-06 16:45:00;11363.822759922112
2024-12-06 17:00:00;11371.437094717448
2024-12-06 17:15:00;11367.225116844273
2024-12-06 17:30:00;11350.312938542376
2024-12-06 17:45:00;11320.344188583469
2024-12-06 18:00:00;11277.483166578775
2024-12-06 18:15:00;11222.38822342612
2024-12-06 18:30:00;11156.157207088918
2024-12-06 18:45:00;11080.24860102786
2024-12-06 19:00:00;10996.38354160783
2024-12-06 19:15:00;10906.435127684133
2024-12-06 19:30:00;10812.31224664676
2024-12-06 19:45:00;10715.845483155012
2024-12-06 20:00:00;10618.682519632348
2024-12-06 20:15:00;10522.199797814246
2024-12-06 20:30:00;10427.436121194212
2024-12-06 20:45:00;10335.052414049409
2024-12-06 21:00:00;10245.320108375996
2024-12-06 21:15:00;10158.138721382367
2024-12-06 21:30:00;10073.081234296702
2024-12-06 21:45:00;9989.464025078858
2024-12-06 22:00:00;9906.43645770704
2024-12-06 22:15:00;9823.083904001063
2024-12-06 22:30:00;9738.537055804418
2024-12-06 22:45:00;9652.079939164649
2024-12-06 23:00:00;9563.249092890088
2024-12-06 23:15:00;9471.916926118212
2024-12-06 23:30:00;9378.353279648769
2024-12-06 23:45:00;9283.26062159943
2024-12-07 00:00:00;9187.780015949778
2024-12-07 00:15:00;9093.46690088233
2024-12-07 00:30:00;9002.237675123404
2024-12-07 00:45:00;8916.289990349807
2024-12-07 01:00:00;8838.001358457463
2024-12-07 01:15:00;8769.81209329216
2024-12-07 01:30:00;8714.099627283109
2024-12-07 01:45:00;8673.051808423173
2024-12-07 02:00:00;8648.546855381874
2024-12-07 02:15:00;8642.047230119466
2024-12-07 02:30:00;8654.513804319908
2024-12-07 02:45:00;8686.345411160204
2024-12-07 03:00:00;8737.347274528403
2024-12-07 03:15:00;8806.72999853525
2024-12-07 03:30:00;8893.138904582309
2024-12-07 03:45:00;8994.711642912462
2024-12-07 04:00:00;9109.160303577639
2024-12-07 04:15:00;9233.872818874972
2024-12-07 04:30:00;9366.027372808912
2024-12-07 04:45:00;9502.71288298412
2024-12-07 05:00:00;9641.048431349987
2024-12-07 05:15:00;9778.294797205433
2024-12-07 05:30:00;9911.951963831756
2024-12-07 05:45:00;10039.837575371552
2024-12-07 06:00:00;10160.1427266733
2024-12-07 06:15:00;10271.463082209524
2024-12-07 06:30:00;10372.805023029754
2024-12-07 06:45:00;10463.568195786127
2024-12-07 07:00:00;10543.507371745764
2024-12-07 07:15:00;10612.677812790887
2024-12-07 07:30:00;10671.369298484049
2024-12-07 07:45:00;10720.03453491717
2024-12-07 08:00:00;10759.217807568431
2024-12-07 08:15:00;10789.489453346923
2024-12-07 08:30:00;10811.391039453496
2024-12-07 08:45:00;10825.395103908202
2024-12-07 09:00:00;10831.88201194392
2024-12-07 09:15:00;10831.135014038284
2024-12-07 09:30:00;10823.35306195288
2024-12-07 09:45:00;10808.67946230572
2024-12-07 10:00:00;10787.243131236572
2024-12-07 10:15:00;10759.208154709238
2024-12-07 10:30:00;10724.826635203826
2024-12-07 10:45:00;10684.48947001936
2024-12-07 11:00:00;10638.769785269746
2024-12-07 11:15:00;10588.454238119544
2024-12-07 11:30:00;10534.558265893866
2024-12-07 11:45:00;10478.322539950956
2024-12-07 12:00:00;10421.189295871334
2024-12-07 12:15:00;10364.758753772383
2024-12-07 12:30:00;10310.727405106158
2024-12-07 12:45:00;10260.811411002842
2024-12-07 13:00:00;10216.659625135548
2024-12-07 13:15:00;10179.761724122243
2024-12-07 13:30:00;10151.35753082816
2024-12-07 13:45:00;10132.353796783706
2024-12-07 14:00:00;10123.254452424193
2024-12-07 14:15:00;10124.109646806985
2024-12-07 14:30:00;10134.487823578938
2024-12-07 14:45:00;10153.473683901637
2024-12-07 15:00:00;10179.693262671899
2024-12-07 15:15:00;10211.365598304781
2024-12-07 15:30:00;10246.378727000912
2024-12-07 15:45:00;10282.38609924775
2024-12-07 16:00:00;10316.918110705981
2024-12-07 16:15:00;10347.502362613699
2024-12-07 16:30:00;10371.785591895836
2024-12-07 16:45:00;10387.649992337916
2024-12-07 17:00:00;10393.31690361132
2024-12-07 17:15:00;10387.431563524018
2024-12-07 17:30:00;10369.12375772452
2024-12-07 17:45:00;10338.040689013855
2024-12-07 18:00:00;10294.350128733364
2024-12-07 18:15:00;10238.713793339495
2024-12-07 18:30:00;10172.232785864888
2024-12-07 18:45:00;10096.368729116099
2024-12-07 19:00:00;10012.845777672715
2024-12-07 19:15:00;9923.539921536956
2024-12-07 19:30:00;9830.36280645647
2024-12-07 19:45:00;9735.147636632926
2024-12-07 20:00:00;9639.544570086951
2024-12-07 20:15:00;9544.932375087183
2024-12-07 20:30:00;9452.352028508005
2024-12-07 20:45:00;9362.46647134037
2024-12-07 21:00:00;9275.548993312175
2024-12-07 21:15:00;9191.50080856021
2024-12-07 21:30:00;9109.896433791031
2024-12-07 21:45:00;9030.053620930981
2024-12-07 22:00:00;8951.122947137166
2024-12-07 22:15:00;8872.190837622606
2024-12-07 22:30:00;8792.388879389317
2024-12-07 22:45:00;8711.00183668231
2024-12-07 23:00:00;8627.566830933967
2024-12-07 23:15:00;8541.956699299104
2024-12-07 23:30:00;8454.441556409598
2024-12-07 23:45:00;8365.723989822276
2024-12-08 00:00:00;8276.945027784906
2024-12-08 00:15:00;8189.659915946203
2024-12-08 00:30:00;8105.784701293362
2024-12-08 00:45:00;8027.516521717352
2024-12-08 01:00:00;7957.2322098301465
2024-12-08 01:15:00;7897.371230873017
2024-12-08 01:30:00;7850.309995591959
2024-12-08 01:45:00;7818.235153339242
2024-12-08 02:00:00;7803.023543664342
2024-12-08 02:15:00;7806.136065973459
2024-12-08 02:30:00;7828.531843555633
2024-12-08 02:45:00;7870.607773898558
2024-12-08 03:00:00;7932.16695728585
2024-12-08 03:15:00;8012.417686583398
2024-12-08 03:30:00;8110.002785703533
2024-12-08 03:45:00;8223.05722329708
2024-12-08 04:00:00;8349.290226809151
2024-12-08 04:15:00;8486.086688295585
2024-12-08 04:30:00;8630.621578409564
2024-12-08 04:45:00;8779.980432211734
2024-12-08 05:00:00;8931.27878474461
